system:index,Elevation,LST,Latitude,Longitude,NDBI,NDVI,Population,.geo
7850,653,42.755334619999985,19.99470610902133,75.52287491295037,-0.0669710806697108,0.30592149035262806,2.0661444664001465,"{""type"":""Point"",""coordinates"":[75.52287491295037,19.99470610902133]}"
7851,577,41.95380893000004,19.840143947695413,75.33726294705365,0.06527872361124623,0.08847853177750085,34.518798828125,"{""type"":""Point"",""coordinates"":[75.33726294705365,19.840143947695413]}"
7852,630,43.09371859999999,19.82121933856505,75.36602656838602,0.0642593671131819,0.2906680947918061,5.7479448318481445,"{""type"":""Point"",""coordinates"":[75.36602656838602,19.82121933856505]}"
7853,528,42.67330214000003,19.832426175834104,75.22889130611144,0.15692140331792223,0.1926134906386253,33.08106231689453,"{""type"":""Point"",""coordinates"":[75.22889130611144,19.832426175834104]}"
7854,650,45.02489990000004,19.944502780950767,75.4008528497077,0.11629589437511303,0.20641975308641974,3.4862864017486572,"{""type"":""Point"",""coordinates"":[75.4008528497077,19.944502780950767]}"
7855,558,39.62613730999999,19.908776129093813,75.18252557672636,-0.07725469908604932,0.29217085531078707,1.2136784791946411,"{""type"":""Point"",""coordinates"":[75.18252557672636,19.908776129093813]}"
7856,843,45.59570924000002,20.040158450791967,75.20609578522392,0.11060825488776249,0.180158539514773,1.4232192039489746,"{""type"":""Point"",""coordinates"":[75.20609578522392,20.040158450791967]}"
7857,575,43.580786450000005,19.90282955801604,75.28971777554658,0.08779093507554103,0.14373480097273775,27.47660255432129,"{""type"":""Point"",""coordinates"":[75.28971777554658,19.90282955801604]}"
7858,815,42.37080737000002,19.979454547229533,75.4233035874955,0.19474042167309,0.19314746388982196,1.7363805770874023,"{""type"":""Point"",""coordinates"":[75.4233035874955,19.979454547229533]}"
7859,691,37.621468580000055,20.024392274330566,75.2758538574678,-0.09063042811893328,0.2634943181818182,1.7920781373977661,"{""type"":""Point"",""coordinates"":[75.2758538574678,20.024392274330566]}"
7860,582,45.80420846000004,19.83185313036457,75.3207760929147,0.02922295678834914,0.13612917694550347,11.130849838256836,"{""type"":""Point"",""coordinates"":[75.3207760929147,19.83185313036457]}"
7861,549,45.78540935000001,19.90194625593763,75.16786590473934,0.0424884481009805,0.16575192096597147,2.513883352279663,"{""type"":""Point"",""coordinates"":[75.16786590473934,19.90194625593763]}"
7862,529,47.21243270000002,19.72692088443655,75.33884172793725,0.17354098921786754,0.15817244273893752,1.4924161434173584,"{""type"":""Point"",""coordinates"":[75.33884172793725,19.72692088443655]}"
7863,576,45.09838733000004,19.906142717963043,75.28059449892989,0.09460341131512723,0.0996151233869142,19.771846771240234,"{""type"":""Point"",""coordinates"":[75.28059449892989,19.906142717963043]}"
7864,857,43.080046519999996,19.982288244813383,75.24421187198699,0.09589488288582387,0.16121593291404612,1.4442832469940186,"{""type"":""Point"",""coordinates"":[75.24421187198699,19.982288244813383]}"
7865,568,43.01852216000003,19.920726756723575,75.1881694357109,0.08361204013377926,0.1953879713306326,1.2833226919174194,"{""type"":""Point"",""coordinates"":[75.1881694357109,19.920726756723575]}"
7866,562,45.44360734999998,19.843252745646325,75.46910590162479,0.07569522384337199,0.210913249469041,3.2672624588012695,"{""type"":""Point"",""coordinates"":[75.46910590162479,19.843252745646325]}"
7867,571,39.12197936000001,19.930422471749093,75.17131031351687,-0.16227962279622796,0.4597322348094748,1.3157950639724731,"{""type"":""Point"",""coordinates"":[75.17131031351687,19.930422471749093]}"
7868,671,45.76831924999999,19.932307576620175,75.24147303024138,0.1462979482604817,0.20468277945619334,3.9558515548706055,"{""type"":""Point"",""coordinates"":[75.24147303024138,19.932307576620175]}"
7869,508,42.975796909999985,19.740994180857818,75.29407233990196,0.06621719239104262,0.1395827211284161,18.897735595703125,"{""type"":""Point"",""coordinates"":[75.29407233990196,19.740994180857818]}"
7870,677,47.79691412,19.973990764574825,75.31641492281268,0.11801845556095192,0.14694736842105263,2.4090287685394287,"{""type"":""Point"",""coordinates"":[75.31641492281268,19.973990764574825]}"
7871,538,41.369327510000005,19.842185793186445,75.23738531125802,0.0336192905170415,0.19273143511231935,80.05696105957031,"{""type"":""Point"",""coordinates"":[75.23738531125802,19.842185793186445]}"
7872,580,44.38231214000001,19.87226046908308,75.436028374047,0.05064948142181049,0.22155998963462037,7.3505754470825195,"{""type"":""Point"",""coordinates"":[75.436028374047,19.87226046908308]}"
7873,579,43.28000069000001,19.865072262652056,75.50884595819538,-0.014146037029332224,0.31066003495093425,17.91501235961914,"{""type"":""Point"",""coordinates"":[75.50884595819538,19.865072262652056]}"
7874,625,38.04017603,19.943477280603453,75.35122588826623,-0.2152428810720268,0.5478984425005334,8.255712509155273,"{""type"":""Point"",""coordinates"":[75.35122588826623,19.943477280603453]}"
7875,727,45.966564410000046,19.962133298230086,75.55665062408568,0.08386299435028248,0.19769186381996537,1.944995403289795,"{""type"":""Point"",""coordinates"":[75.55665062408568,19.962133298230086]}"
7876,660,47.98490522000003,19.932022006661505,75.52430580428812,0.13061690784463062,0.15800152168399695,2.561319351196289,"{""type"":""Point"",""coordinates"":[75.52430580428812,19.932022006661505]}"
7877,583,48.44291989999999,19.81345598846722,75.4202213667666,0.06937056737588652,0.15611233480176212,2.7848961353302,"{""type"":""Point"",""coordinates"":[75.4202213667666,19.81345598846722]}"
7878,555,43.25436553999998,19.820129833881705,75.29134719073643,0.07241558441558442,0.225531914893617,13.900834083557129,"{""type"":""Point"",""coordinates"":[75.29134719073643,19.820129833881705]}"
7879,680,36.713984270000026,20.03728921745378,75.27047709203643,-0.12410876132930514,0.34558078981628815,1.7543566226959229,"{""type"":""Point"",""coordinates"":[75.27047709203643,20.03728921745378]}"
7880,683,47.248321910000016,19.977254427105823,75.38919093110634,0.07748586631193881,0.1654238000210062,3.525585412979126,"{""type"":""Point"",""coordinates"":[75.38919093110634,19.977254427105823]}"
7881,562,44.40452927000001,19.892773579095167,75.29597014473285,0.1576008041997096,0.1595940959409594,90.21056365966797,"{""type"":""Point"",""coordinates"":[75.29597014473285,19.892773579095167]}"
7882,492,38.648583590000044,19.72778134015455,75.22052323170556,-0.2361611529642974,0.5397796817625459,1.8135435581207275,"{""type"":""Point"",""coordinates"":[75.22052323170556,19.72778134015455]}"
