NDVI,NDBI,Elevation,Population,LandCover_Bare_sparse_vegetation,LandCover_Built-up land,LandCover_Cropland,LandCover_Grassland,LandCover_Permanent_water_bodies,LandCover_Shrubland,LandCover_Tree cover,LST,Latitude,Longitude,Predicted_LST,Residual,Heat_Category,LandCover_Class
0.1652622995379179,0.1331513497118592,586,31.39720916748047,0,0,0,1,0,0,0,48.50273525,19.867708923969268,75.4860615511924,47.0152,1.487533681396485,Very High,Grassland
0.1400189214758751,0.0577656143094516,648,5.117676734924316,0,0,0,1,0,0,0,46.89626585000002,19.935851915028973,75.30169362811134,46.437984,0.45828138344728586,Very High,Grassland
0.2333553937789543,0.0585976965043443,640,8.145834922790527,0,0,0,0,0,1,0,47.63455816999999,19.92599289264664,75.3084382196937,44.191982,3.4425759007128818,Very High,Shrubland
0.1950489662676822,0.1481481481481481,760,2.5853822231292725,0,0,1,0,0,0,0,46.19728076000001,20.00187038927251,75.41944236124259,46.135544,0.06173693675782488,Very High,Cropland
0.1547445255474452,0.0802325581395348,746,2.097850799560547,0,0,1,0,0,0,0,47.12185517,19.94523707837696,75.49618032229327,45.934628,1.187227637041019,Very High,Cropland
0.1636866997346868,0.145591598204455,741,1.7274723052978516,0,0,0,1,0,0,0,47.90116373000001,19.975242863331413,75.28042911777189,46.26149,1.639673861835945,Very High,Grassland
0.1569640914036996,0.1729703451628585,574,7.589609146118164,0,0,0,1,0,0,0,46.903101890000016,19.90504434986269,75.24356680361487,47.297977,-0.39487555750974934,Very High,Grassland
0.1563489778289663,0.0856102003642987,703,2.1574833393096924,0,0,0,0,0,1,0,46.72878287000003,19.964999190226816,75.42568957698889,45.336277,1.3925058619433912,Very High,Shrubland
0.1295992500585891,0.0789222243454997,570,14.60128116607666,0,0,0,1,0,0,0,47.40896885000001,19.90505316213152,75.27309958004483,47.305176,0.10379306875000793,Very High,Grassland
0.1441334127456819,0.0601761252446183,575,6.070882320404053,0,0,1,0,0,0,0,49.76569364,19.87057003238221,75.55831515327134,47.25225,2.5134429686132833,Very High,Cropland
0.3154155813402794,0.0120931886893117,585,2.8381776809692383,0,0,1,0,0,0,0,47.18850656000001,19.80286669623302,75.4502172745579,44.71679,2.471717314394539,Very High,Cropland
0.1546771421556592,0.0825204838080374,687,1.7100216150283811,0,0,0,1,0,0,0,47.352571520000026,20.007379283196126,75.5214920800231,46.50948,0.8430919972949482,Very High,Grassland
0.0875340054408705,0.0325978647686832,554,1.3507050275802612,0,0,1,0,0,0,0,49.26666272,19.73897750794399,75.36855149340518,46.657314,2.60934841946289,Very High,Cropland
0.1769482645710543,0.1221180148495506,630,2.126736879348755,0,0,0,1,0,0,0,47.53885361000005,19.95604766381931,75.57328200782618,46.981705,0.557148898085984,Very High,Grassland
0.1409117821195974,0.0628571428571428,579,6.866347789764404,0,0,1,0,0,0,0,47.96439710000004,19.87414092961098,75.4340972887208,46.20199,1.7624088797851982,Very High,Cropland
0.1399948625738505,0.1118671202721632,554,6.062869071960449,1,0,0,0,0,0,0,46.55446385000005,19.87832577507028,75.22086705085684,46.48794,0.06652210805668801,Very High,Bare_sparse_vegetation
0.1681977252843394,0.082460058409208,613,6.656544208526611,0,0,0,1,0,0,0,46.95608120000003,19.9407385040831,75.234103351548,46.974724,-0.018642615917940475,Very High,Grassland
0.2171617161716171,0.0375782881002087,698,1.4910763502120972,0,0,0,1,0,0,0,47.59695995000004,20.040751386436742,75.48444616609652,44.164444,3.432515980273479,Very High,Grassland
0.1329866270430906,0.1148302215342942,754,1.7296968698501587,0,0,0,1,0,0,0,47.55936172999998,20.02203924613981,75.49104563492831,46.62865,0.9307110647167747,Very High,Grassland
0.2384731153372554,0.1451506280101992,660,2.8472235202789307,0,0,0,1,0,0,0,48.34721534000005,19.94773531356056,75.55270371260545,46.93278,1.414434120517626,Very High,Grassland
0.1773049645390071,0.117481496924841,558,2.6383321285247803,0,0,1,0,0,0,0,47.217559730000005,19.80939069357945,75.56577997456971,47.719162,-0.5016022573046826,Very High,Cropland
0.1756313311456698,0.014589811049988,612,18.85093688964844,1,0,0,0,0,0,0,47.97636017000002,19.827958502408173,75.35737736734505,45.340828,2.6355322281054896,Very High,Bare_sparse_vegetation
0.2883964296706679,0.0500397140587768,642,2.407431602478028,0,0,0,0,0,1,0,49.10430677,19.927708284503925,75.531108991457,46.098236,3.006070686015626,Very High,Shrubland
0.1957996062130824,0.0657208785573882,641,1.275693416595459,0,0,0,1,0,0,0,47.96439710000004,19.96349190569604,75.17283435141928,46.189022,1.7753750357910576,Very High,Grassland
0.1506535198349002,0.1208829712683952,698,1.95974862575531,0,0,1,0,0,0,0,46.61086118000003,19.99722910356363,75.52051995447262,45.88219,0.7286704756543259,Very High,Cropland
0.0418163529242707,0.0490556138509968,613,32.66522979736328,1,0,0,0,0,0,0,48.39164960000005,19.91425580251167,75.32474685152292,46.752254,1.6393951139160663,Very High,Bare_sparse_vegetation
0.1992809450436569,0.0129979921800697,649,4.562259674072266,0,0,0,1,0,0,0,47.644812230000014,19.932090345443125,75.29828620470826,44.74664,2.8981729782910293,Very High,Grassland
0.1932165693633583,0.0045227878928447,619,1.6982275247573853,1,0,0,0,0,0,0,46.750999999999976,19.95992724944871,75.19999141353641,44.19034,2.5606618652343514,Very High,Bare_sparse_vegetation
0.1429522013973605,0.094932818125933,762,1.4038695096969604,0,0,1,0,0,0,0,46.492939490000026,19.77355967349558,75.37106119084521,46.250492,0.2424473940527605,Very High,Cropland
0.1919943322706341,0.1501452203561055,707,2.292555570602417,0,0,0,0,0,1,0,47.74222580000003,19.924546227337764,75.47091145392912,45.355087,2.387138519726591,Very High,Shrubland
0.1273418408905783,0.1837216160424653,678,1.943054437637329,0,0,0,1,0,0,0,47.831094320000034,19.98584012793404,75.50923597999588,48.174168,-0.3430733130566068,Very High,Grassland
0.1712003993012228,0.0954124903623747,699,3.174691915512085,0,0,1,0,0,0,0,48.36943246999999,19.94541726483963,75.54002993820399,46.15612,2.2133121697070237,Very High,Cropland
0.2233084641111397,0.107293720078851,767,1.80049467086792,0,0,0,1,0,0,0,46.590353059999984,20.03170991445316,75.21491301316192,45.586323,1.0040302755761559,Very High,Grassland
0.183058702368692,0.1239275500476644,682,2.1077077388763428,0,0,0,1,0,0,0,48.62920199000001,19.93110142017037,75.57276291740334,46.599663,2.029539209238294,Very High,Grassland
0.1515782171349289,0.1723450224364301,646,2.534979820251465,0,0,0,1,0,0,0,46.97317129999999,19.789730838815583,75.41343128469784,47.058327,-0.08515542119141628,Very High,Grassland
0.2902173913043478,-0.0043363299841353,544,2.3099613189697266,0,0,1,0,0,0,0,46.94070011000002,19.80252055803832,75.57979608090743,43.94472,2.995978888076195,Very High,Cropland
0.1548462107599619,0.0713921468638449,580,3.595795154571533,0,0,0,1,0,0,0,47.52347252000004,19.795581937502988,75.30767121806831,46.33676,1.1867110453906662,Very High,Grassland
0.1596862119399016,0.1072671443193449,753,1.994416356086731,0,0,0,1,0,0,0,46.69460267,20.023531418305108,75.46781630760348,45.933475,0.7611271756152362,Very High,Grassland
0.167270094134685,0.0975928344840455,753,3.187143564224243,0,0,1,0,0,0,0,47.91141779000003,20.01730742534512,75.44938754771621,47.144634,0.7667835431738581,Very High,Cropland
0.1351861845655693,0.0956577815993121,815,1.1159849166870115,0,0,0,1,0,0,0,46.30836641000002,20.009030755491544,75.31486802798217,46.130596,0.1777702491113473,Very High,Grassland
0.1524172147225106,0.1079753505403233,738,2.4726624488830566,0,0,1,0,0,0,0,46.84157753,19.937101933555063,75.4707127657565,47.071655,-0.23007774343749787,Very High,Cropland
0.2660126947489902,0.0869746150645027,820,2.4661810398101807,0,0,1,0,0,0,0,46.405779980000034,19.98442398580848,75.45084469224314,46.093,0.312781475361362,Very High,Cropland
