Feature,Importance
NDBI,0.42723480978556894
Longitude,0.1083099517346651
Green_Built_Ratio,0.10258873540500073
Latitude,0.08063369015284479
Elevation,0.07256119575842078
Population,0.06567361605099128
Elevation_Cooling_Index,0.049682613915318405
NDVI,0.046983697383162326
Population_Heat_Index,0.04633168981402764
