Latitude,Longitude,Zone_ID,Baseline_Predicted_LST_C,Greening_Predicted_LST_C,Cool_Surface_Predicted_LST_C,Greening_Cooling_C,Cool_Surface_Cooling_C,Best_Cooling_C,Recommended_Intervention,Population,Heat_Category
19.774485509391376,75.33895621959309,2_9,47.796463,47.362724,47.527496,0.4337387,0.26896667,0.4337387,Urban greening,2.623918056488037,High
20.02684967301953,75.45267910325285,15_15,45.106384,44.929443,45.107292,0.17694092,-0.00090789795,0.17694092,Urban greening,2.207641839981079,High
19.758712315511435,75.28528387152048,1_7,42.37734,41.72308,42.234127,0.6542587,0.14321136,0.6542587,Urban greening,14.836403846740724,High
19.90505316213152,75.27309958004483,9_6,47.305176,46.181076,46.924118,1.1240997,0.38105774,1.1240997,Urban greening,14.60128116607666,Very High
19.87057003238221,75.55831515327134,7_20,47.25225,45.433903,46.529087,1.8183479,0.7231636,1.8183479,Urban greening,6.070882320404053,Very High
19.85049115387001,75.48878363931132,6_17,43.763706,42.933514,43.763706,0.83019257,0.0,0.83019257,Urban greening,4.6382551193237305,High
19.804466930642835,75.54438275544992,4_20,42.6042,42.03637,42.65874,0.56782913,-0.05454254,0.56782913,Urban greening,2.783798933029175,Moderate
19.87052697675233,75.16835718513931,7_1,44.572018,44.233093,44.148243,0.3389244,0.42377472,0.42377472,Cool/permeable surfaces,1.3584322929382324,High
19.80286669623302,75.4502172745579,3_15,44.71679,44.24713,44.67246,0.4696579,0.044330597,0.4696579,Urban greening,2.8381776809692383,Very High
19.85582604497858,75.19267203483876,6_2,42.025127,42.6505,42.074024,-0.62537384,-0.04889679,-0.04889679,Cool/permeable surfaces,3.5525691509246826,Moderate
19.93005962721242,75.14470594389766,10_0,43.41367,43.162727,43.005356,0.25094223,0.40831375,0.40831375,Cool/permeable surfaces,1.199683427810669,Moderate
19.827696725237992,75.41454984244528,5_13,46.428516,46.74762,46.967365,-0.31910324,-0.5388489,-0.31910324,Urban greening,3.251059293746948,High
20.01859006094884,75.31874629221403,14_8,43.377407,42.62027,42.936504,0.7571373,0.4409027,0.7571373,Urban greening,1.5308901071548462,High
19.82546875506048,75.2168281899486,5_3,40.0414,40.6507,40.38507,-0.6092987,-0.3436699,-0.3436699,Cool/permeable surfaces,6.187530517578125,Low
