Dataset,Model,Validation,R2,MAE_C,RMSE_C
Dataset V2,XGBoost,Spatial block cross-validation,0.51,1.78,2.26
Dataset V3,XGBoost,Spatial block cross-validation,0.5691,1.6645,2.1163
