Zone_ID,Mean_LST,Mean_Predicted_LST,Max_LST,Mean_NDVI,Mean_NDBI,Mean_Population,Point_Count,Very_High_Hotspot_Count,Zone_Latitude,Zone_Longitude,Hotspot_Percentage,Hotspot_Priority
4_22,48.15865457000003,46.650745,50.44758863000004,0.22296348698898324,0.09278558002256591,2.5846551656723022,6,5,19.81098787173843,75.58488838051107,83.33,High Priority
4_21,47.612930353793125,46.940758,49.48199798000002,0.18882134736780423,0.10316729790909444,2.618992262873156,29,27,19.81318657181185,75.5718238131596,93.1,High Priority
5_20,47.55252569000002,45.852337,50.034008210000025,0.20205943279262897,0.04712222590392338,2.8405244036724695,38,35,19.832173498398138,75.55311056649676,92.11,High Priority
3_21,47.517680875000025,46.191303,50.25788852000005,0.2048357921477962,0.07518396007053012,2.340091029802958,18,14,19.799522350269676,75.56960760890544,77.78,High Priority
4_20,47.51677889750002,46.27741,50.60823557000003,0.197169846244933,0.05891253580169552,2.68491448296441,36,31,19.812505386381705,75.5527329461197,86.11,High Priority
0_15,47.465366180000046,47.15638,47.465366180000046,0.1274801587301587,0.1010480522048645,2.911846399307251,1,1,19.74184888764556,75.44556345164725,100.0,High Priority
6_20,47.432254111250025,45.72159,50.30915881999999,0.1945453560905123,0.07691824187440964,5.377040460705757,32,29,19.853782751437166,75.55195642215162,90.62,High Priority
5_22,47.20315521714287,46.952824,48.76079576000001,0.18378728604244937,0.10180031434597071,2.3679500988551547,7,5,19.828270531517635,75.58356251215189,71.43,High Priority
7_15,47.18632609896554,46.21058,50.28352367000002,0.1781686282601766,0.07114890310451706,6.307922215297304,29,23,19.87495758359587,75.45250762020787,79.31,High Priority
5_21,47.05427806625002,46.454086,50.6475428,0.16633603485565773,0.11384166563881186,2.370611935853958,24,18,19.832869676151873,75.57240974990607,75.0,High Priority
10_6,46.902010022500015,45.987278,49.40509253000005,0.1714366480541297,0.08985581209821542,3.4436314238442316,36,27,19.934928738616485,75.27160421167224,75.0,Standard
6_22,46.83588083000002,46.549583,48.63945605000004,0.17558388893305374,0.15495761625518803,2.673345618777805,9,6,19.854958473495156,75.58377605455043,66.67,Standard
12_5,46.8348505757447,46.343166,49.51276016000003,0.18308592950945396,0.07354039930346248,1.725153476633924,47,29,19.972958185208963,75.25248048030777,61.7,Standard
6_21,46.81985511342106,46.22038,50.42366249000003,0.18220871961765386,0.1009390536193369,2.509531937147442,38,27,19.85162545073175,75.57151809934857,71.05,Standard
10_21,46.802623888275875,46.059124,49.07012657000001,0.2040388376864392,0.10288659873851626,2.130971670150757,29,20,19.932129152016802,75.57396453285925,68.97,Standard
10_8,46.66780539320001,45.397778,50.30744980999998,0.18701440383514445,0.05683193150306179,7.756143207550049,25,17,19.934673684101575,75.3096052249706,68.0,Standard
11_5,46.580393656896575,45.455353,50.31428585000003,0.22795437534405713,0.07724985852125796,2.6894410889724205,29,19,19.953942869183933,75.25273895289101,65.52,Standard
9_6,46.57330568525002,46.039383,49.72125937999999,0.1524038248222185,0.07064263780353805,9.834663486480713,40,26,19.913069076716695,75.27173767180308,65.0,Standard
2_12,46.56733839200002,45.29273,50.28010565,0.2133133300034297,0.0828324342153425,1.8681556026140849,30,22,19.77407827855404,75.39131918168421,73.33,Standard
11_21,46.51622475125002,45.701504,49.89728740999999,0.2083138125838886,0.07200843196132661,2.2295954264700413,32,22,19.953878840490976,75.57060490179451,68.75,Standard
8_14,46.47732745270272,45.80378,49.29229787000003,0.2263780578130153,0.03887733328113797,5.551558249705547,37,26,19.8932800318612,75.4324998097884,70.27,Standard
