Zone_ID,Mean_Baseline_LST,Mean_Greening_Cooling_C,Mean_Cool_Surface_Cooling_C,Mean_Best_Cooling_C,Mean_Population,Zone_Latitude,Zone_Longitude,Point_Count,Recommended_Intervention
0_6,43.506454,1.0978583,0.47276676,1.1697778,2.641624979178111,19.733411604880125,75.27299666350606,30,Urban greening
13_9,44.616367,0.9009691,0.31929195,1.034609,1.135170970360438,19.993965580178997,75.3323861193821,30,Urban greening
6_20,45.72159,0.9107199,0.2996198,0.9228715,5.377040460705757,19.853782751437166,75.55195642215162,32,Urban greening
9_7,44.981224,0.85820603,0.31906,0.8855263,14.63548704429909,19.914049771238883,75.29097881537052,27,Urban greening
4_21,46.940758,0.742268,0.32499167,0.79699695,2.618992262873156,19.81318657181185,75.5718238131596,29,Urban greening
4_20,46.27741,0.68661284,0.38665274,0.7918997,2.68491448296441,19.812505386381705,75.5527329461197,36,Urban greening
2_11,45.697147,0.7375112,0.48292923,0.79103315,1.5154644846916199,19.772851980341336,75.37182948048101,34,Urban greening
5_0,42.71167,0.37082672,0.7851715,0.7851715,1.5659669637680054,19.841369232111752,75.16109903812296,1,Cool/permeable surfaces
10_22,46.160492,0.77717304,0.17770672,0.77717304,2.4228582084178925,19.9371267155373,75.5832616355265,4,Urban greening
13_7,44.58492,0.5656103,0.35059047,0.77492666,1.1111097317188978,19.992572519895976,75.2906902554495,32,Urban greening
2_10,45.177773,0.6986324,0.38232747,0.7673621,1.5101846516132356,19.774979777517377,75.3527075839427,40,Urban greening
1_10,45.314766,0.6641644,0.33627668,0.7621142,1.5400654839144812,19.755525624262525,75.35442439098848,36,Urban greening
0_2,41.55286,0.75490695,0.06678518,0.75490695,1.1090654929478962,19.738861100280122,75.20094049153658,3,Urban greening
10_8,45.397778,0.6966351,0.3208078,0.75260943,7.756143207550049,19.934673684101575,75.3096052249706,25,Urban greening
12_5,46.343166,0.60735816,0.20519711,0.74328655,1.725153476633924,19.972958185208963,75.25248048030777,47,Urban greening
7_15,46.21058,0.65319216,0.34649855,0.7382647,6.307922215297304,19.87495758359587,75.45250762020787,29,Urban greening
0_10,43.75055,0.60264945,0.1697089,0.73500484,1.733423802587721,19.73389262709112,75.35211336110726,18,Urban greening
